ClassName	CodeNumb
	0
L-L	1
H-R	2
A-V	3
R-L	4
Y-Y	5
T-T	6
I-F	7
F-L	8
V-A	9
R-Q	10
D-N	11
G-R	12
S-L	13
N-N	14
G-G	15
R-C	16
L-F	17
A-G	18
S-T	19
F-I	20
P-P	21
A-A	22
A-P	23
N-K	24
T-M	25
R-W	26
F-F	27
G-E	28
R-K	29
K-E	30
I-M	31
P-L	32
A-D	33
I-T	34
H-H	35
I-V	36
V-V	37
L-V	38
D-Y	39
N-H	40
H-Q	41
Q-R	42
D-E	43
V-G	44
K-R	45
E-K	46
P-S	47
R-*	48
R-R	49
T-S	50
S-S	51
Q-H	52
T-A	53
A-S	54
C-S	55
G-A	56
R-H	57
D-D	58
P-R	59
Y-C	60
A-T	61
S-P	62
I-I	63
E-G	64
C-R	65
N-D	66
C-Y	67
D-G	68
S-G	69
C-W	70
L-P	71
V-M	72
R-G	73
G-D	74
R-S	75
E-A	76
Q-E	77
E-Q	78
G-S	79
E-E	80
P-H	81
W-R	82
H-Y	83
Y-S	84
Q-*	85
K-K	86
M-V	87
Q-Q	88
F-S	89
V-F	90
Y-H	91
T-I	92
T-K	93
V-I	94
C-C	95
L-S	96
R-P	97
S-N	98
M-T	99
R-T	100
I-N	101
P-Q	102
M-I	103
P-A	104
E-D	105
S-F	106
G-V	107
T-N	108
M-L	109
S-A	110
K-N	111
H-N	112
N-T	113
K-T	114
N-S	115
I-S	116
T-R	117
N-I	118
I-L	119
Q-K	120
M-R	121
C-G	122
S-C	123
H-P	124
H-D	125
A-E	126
S-W	127
D-A	128
C-*	129
Q-L	130
K-Q	131
S-R	132
W-*	133
E-*	134
Y-F	135
F-V	136
N-Y	137
C-F	138
G-W	139
L-R	140
*-S	141
S-I	142
Q-P	143
K-*	144
L-M	145
V-L	146
Y-*	147
T-P	148
L-I	149
F-C	150
L-H	151
F-Y	152
*-Q	153
V-D	154
R-M	155
D-V	156
P-T	157
Y-D	158
E-V	159
V-E	160
W-S	161
D-H	162
L-Q	163
W-C	164
S-*	165
S-Y	166
R-I	167
L-*	168
I-K	169
G-*	170
K-I	171
G-C	172
*-W	173
W-G	174
Y-N	175
H-L	176
K-M	177
L-W	178
W-L	179
M-K	180
*-R	181
I-R	182
